id,quantity,item_price,total_sum
30078775,1,180000,179999.99
id,quantity,item_price,total_sum
30078054,1,1200000,1200000
id,quantity,item_price,total_sum
30077458,1,30000000,29999999.99
id,quantity,item_price,total_sum
30076752,1,10995200,10995200
id,quantity,item_price,total_sum
30076561,1,2267760,2267760
id,quantity,item_price,total_sum
30075569,1,160500,160500
id,quantity,item_price,total_sum
30074357,1,2500000,2500000
id,quantity,item_price,total_sum
30070626,1,220000,220000
id,quantity,item_price,total_sum
30070468,1,1198080,1198079.99
id,quantity,item_price,total_sum
30069408,1,287999.99,287999.99
id,quantity,item_price,total_sum
30069251,1,35740.76,35740.76
id,quantity,item_price,total_sum
30068478,1,119999.99,119999.99
id,quantity,item_price,total_sum
30065078,1,2499999.99,2499999.99
id,quantity,item_price,total_sum
30064545,1,9500000,9499999.99
id,quantity,item_price,total_sum
30064099,1,1900000,1900000
id,quantity,item_price,total_sum
30062223,1,9000000,8999999.99
id,quantity,item_price,total_sum
29908484,1,1175868.89,2000000
id,quantity,item_price,total_sum
29907679,1,1784081.06,1900000
id,quantity,item_price,total_sum
29907353,1,9418640.5,9800000
id,quantity,item_price,total_sum
29749307,1,285834.61,285834.61
id,quantity,item_price,total_sum
29749235,1,86400,86400
29749234,1,36600.01,36600.01
id,quantity,item_price,total_sum
29747911,1,254537,254537
id,quantity,item_price,total_sum
29747438,1,22211,22211
id,quantity,item_price,total_sum
29745276,1,120000,120000
29745275,1,30000.01,30000.01
id,quantity,item_price,total_sum
29745106,1,168000,168000
29745104,1,12000,12000
id,quantity,item_price,total_sum
29740814,20,4895,97900
id,quantity,item_price,total_sum
29740633,5,8000,40000
id,quantity,item_price,total_sum
29643431,1000,24.64,24640
id,quantity,item_price,total_sum
29619598,1,7342500.48,7342500.48
29619596,1,907499.49,907499.49
id,quantity,item_price,total_sum
29608511,1,180131.69,180131.69
id,quantity,item_price,total_sum
29599968,1000,43.68,43680
id,quantity,item_price,total_sum
29591589,4,125440,501760
id,quantity,item_price,total_sum
29586630,1,451524.85,451524.85
id,quantity,item_price,total_sum
29586562,1,3820443.8,3820443.8
id,quantity,item_price,total_sum
29586076,1,255200,255200
id,quantity,item_price,total_sum
29585785,1,30000000,30000000
29585784,1,3200000,3200000
id,quantity,item_price,total_sum
29585660,1,18991.47,18991.47
id,quantity,item_price,total_sum
29585229,1,50611.46,50611.46
id,quantity,item_price,total_sum
29582410,1,30680.17,30680.17
id,quantity,item_price,total_sum
29582202,1,1387495.14,1387495.14
id,quantity,item_price,total_sum
29541570,60,350,21000
id,quantity,item_price,total_sum
29541124,20,400,8000
